Project3
100|CVG|03/02/2023 12:57 PM|DBQ|03/02/2023 04:00 PM
200|CWA|01/03/2023 12:14 PM|DRO|01/13/2023 02:45 PM
400|EVV|03/04/2023 12:36 PM|LFT|03/05/2023 08:19 PM
1000|HRL|01/09/2023 09:00 AM|FAT|01/09/2023 06:28 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 12:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 12:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 12:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 11:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 11:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 11:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 11:16 PM
1200|LNK|01/10/2023 10:00 AM|MFE|01/10/2023 11:16 PM
